Domain;Variable Definition;Variable Name;Units;Log Transformed
Sociodemographic;Measure of income inequality;GINI_est;proportion;
Water;Percent of Population on Self Supply;Per_TotPopSS;percent;
Water;Percent of Public Supply Population which is on Surface Water;Per_PSWithSW;percent;
Water;% of stream length impaired in county;D303_Percent_ln;percent;log-transformed
Water;All NPDES permits per 1000 km of stream;ALLNPDESperKM_ln;permits per 1000km stream length;log-transformed
Water;Calcium (Ca) precipitation weighted mean ;CaAve_ln;mg/L;log-transformed
Water;Potassium (K) precipitation weighted mean ;Kave_ln;mg/L;log-transformed
Water;Nitrate (NO3) precipitation weighted mean ;NO3Ave;mg/L;
Water;Chloride (Cl) precipitation weighted mean ;ClAve_ln;mg/L;log-transformed
Water;Sulfate (SO4) precipitation weighted mean;SO4Ave_ln;mg/L;log-transformed
Water;Total Mercury deposition ;HgAve;ng/M2;
Water;% of county drought – extreme (D3-D4);AvgOfD3_ave;percent;
Water;Arsenic ;W_As_ln;mg/L;log-transformed
Water;Barium ;W_Ba_ln;mg/L;log-transformed
Water;Cadmium ;W_Cd_ln;mg/L;log-transformed
Water;Chromium (total) ;W_Cr_ln;mg/L;log-transformed
Water;Cyanide ;W_CN_ln;mg/L;log-transformed
Water;Fluoride ;W_FL_ln;mg/L;log-transformed
Water;Mercury (inorganic) ;W_HG_ln;mg/L;log-transformed
Water;Nitrate (as N) ;W_NO3_ln;mg/L;log-transformed
Water;Nitrite (as N) ;W_NO2_ln;mg/L;log-transformed
Water;Selenium ;W_SE_ln;mg/L;log-transformed
Water;Antimony ;W_SB_ln;mg/L;log-transformed
Water;Endrin ;W_ENDRIN_ln;ug/L;log-transformed
Water;Methoxychlor ;W_METHOXYCHLOR_ln;ug/L;log-transformed
Water;Dalapon ;W_DALAPON_ln;ug/L;log-transformed
Water;Di(2-ethylhexyl)adipate (DEHA) ;W_DEHA_ln;ug/L;log-transformed
Water;Simazine ;W_SIMAZINE_ln;ug/L;log-transformed
Water;Di(2-ethylhexyl) phthalate (DEHP) ;W_DEHP_ln;ug/L;log-transformed
Water;Picloram ;W_PICLORAM_ln;ug/L;log-transformed
Water;Dinoseb ;W_DINOSEB_ln;ug/L;log-transformed
Water;Atrazine ;W_ATRAZINE_ln;ug/L;log-transformed
Water;2,4-D (2,4-Dichlorophenoxyacetic acid) ;W_24D_ln;ug/L;log-transformed
Water;Benzo[a]pyrene  ;W_BENZOAP_ln;ug/L;log-transformed
Water;Pentachlorophenol  ;W_PCP_ln;ug/L;log-transformed
Water;Polychlorinated biphenyls (PCBs)  ;W_PCB_ln;ug/L;log-transformed
Water;1,2-Dibromo-3-chloropropane (DBCP) ;W_DBCP_ln;ug/L;log-transformed
Water;Ethylene dibromide (EDB) ;W_EDB_ln;ug/L;log-transformed
Water;Xylenes (Total) ;W_XYLENES_ln;ug/L;log-transformed
Water;Chlordane ;W_CHLORDANE_ln;ug/L;log-transformed
Water;Dichloromethane (Methylene chloride) ;W_DCM_ln;ug/L;log-transformed
Water;1,4-Dichlorobenzene (p-Dichlorobenzene) ;W_PDCB_ln;ug/L;log-transformed
Water;1,1,1-Trichloroethane ;W_111TRICHLORANE_ln;ug/L;log-transformed
Water;Trichloroethylene ;W_TRICHLORENE_ln;ug/L;log-transformed
Water;Tetrachloroethylene ;W_C2CL4_ln;ug/L;log-transformed
Water;Monochlorobenzene (Chlorobenzene) ;W_BENZENE_ln;ug/L;log-transformed
Water;Toluene ;W_TOLUENE_ln;ug/L;log-transformed
Water;Ethylbenzene ;W_ETHYLBENZ_ln;ug/L;log-transformed
Water;Styrene ;W_STRYENE_ln;ug/L;log-transformed
Water;Alpha Particles (Gross Alpha, excl.Radon&U) ;W_ALPHA;PCl/L;
Water;cis-1,2-Dichloroethylene ;W_DCE_ln;ug/L;log-transformed
Water;Total Coliform Proportion (average number of violations*(Population served/County Population));Coliform_Proportion_ln;proportion;log-transformed
