Metric,Scenario_1_Signals_Only,Scenario_2_Signals_And_Features
AUC,0.5041272444444445,0.5095392888888889
Accuracy,0.5014666666666667,0.5076
gbc__learning_rate,0.12287608582119028,0.018447127142908068
gbc__max_depth,14.0,5.0
gbc__min_samples_split,4.0,5.0
gbc__n_estimators,478.0,342.0
gbc__subsample,0.9728255830929902,1.0
