,0,1,2,3,4,5
0,-2294262.682921756,-2428775.0148237394,-3006901.617681857,-4120432.445433435,-4644429.541920841,-4011991.7277752613
1,-2033379.8558739347,-2609877.7686753627,-3192843.569375485,-3333478.5831925394,-3673448.375857491,-3543408.095129575
2,-1410905.412581035,-2014676.5101030152,-1703028.5944383875,-2013883.018677764,-2089230.905405995,-3117241.168518706
3,-1536350.359632853,-2116324.9828152247,-2344047.132318088,-3908895.3096860177,-4433299.539569625,-3601451.551113161
4,341479859.7799265,356226381.50478524,339099295.96696424,463146324.53417873,349068059.35736865,459903169.8022232
