,0,1,2,3,4,5
0,2.1490742305991954e+19,2.312351390270514e+19,2.4716183376344015e+19,2.391651611088809e+19,2.282341427584508e+19,2.707853937944495e+19
1,3.3045372681174436e+18,3.4066799798559196e+18,3.5581310950885914e+18,5.215452279282306e+18,5.076799640508774e+18,4.847701114148798e+18
2,3.17162930467502e+20,3.0853118023870756e+20,3.062347766004914e+20,3.225438556772518e+20,3.312936409755239e+20,3.690491014958021e+20
3,7.492452904544806e+21,7.742519043939032e+21,7.67013907446805e+21,7.831290947282442e+21,7.667186781076476e+21,7.720514630180477e+21
4,2.5452713494371462e+17,3.591049611253933e+17,4.162453171181938e+17,1.0270500046468585e+18,1.5859077202551782e+18,1.4243264816022953e+18
