,0,1,2,3,4,5
0,1247177544776069.2,1271634000624945.5,1242107825468277.0,1243757359698982.8,1243906165630886.2,1242927728469058.8
1,287913545878560.56,178131348157527.7,174257694305371.25,177567108685048.75,180895376417573.88,175684085995317.97
2,451126900221352.7,382642097252967.9,359497966760995.9,359290224175114.9,360004488435292.1,359857289599382.06
3,458501509117602.2,303060024092030.9,279355805913166.25,279068899862328.0,280806759504974.75,280295182734082.25
4,886598140807541.0,244924921863113.2,244437327668053.7,243878577754585.47,248801136204894.7,244365134177040.88
