,0,1,2,3,4,5
0,175274028883.88965,176048661363.25327,178801101314.7515,178986121177.65588,179049714911.7361,178997909061.4449
1,46236900974.74068,44921598539.714424,45133029445.34059,45042778555.48029,45366528791.47734,45385716447.63686
2,78381101970.24965,73340312974.44405,72144916964.6389,72443524201.89992,72708030620.05371,72623747204.31194
3,69561599871.08598,58084792721.10793,56731729112.40183,57959202176.42667,57084112709.85844,57185251933.235985
4,67777198378.743034,51387216415.631035,51302448664.63504,51594953867.96864,51126169857.73804,51915770306.89793
