,0,1,2,3,4,5
0,-3854345.7138504595,-3966381.521957079,-5032468.116066879,-6061495.21562691,-5889521.759057298,-6652186.716179023
1,-4071838.744178675,-3798291.726950996,-4954380.259769622,-6236607.307832357,-6792431.466212217,-6483878.883302664
2,-2741474.5797173195,-2496567.176991233,-3995471.0557291564,-5439741.393163582,-5934510.962117288,-5575747.114456817
3,-3030157.1981780506,-3562604.369212916,-4425770.648987584,-4885766.320802351,-5789534.2867672155,-6193047.787650629
4,60888420.56712215,53688624.57487242,53066955.748367295,53101512.981702425,59496775.67201211,52609179.46202946
