,0,1,2,3,4,5
0,4647858751.710426,3933756594.8388453,4390694158.872524,4762823740.481108,4696624203.081767,4949944242.064561
1,1627542958.1310606,1262571270.5708513,1364096789.545781,1632669040.0500062,2175949681.2489753,1942307131.356052
2,12349431441.820597,11820891963.359243,12882806676.600897,12744238598.922749,13263224162.502012,12143995470.02493
3,78828109342.75684,78546151988.2286,78961349551.78017,78654004951.37119,81253526680.34663,78793699697.7122
4,761129879.7301563,469092716.90339077,690067459.6319208,830372119.415601,654374786.855234,1249099429.430523
