,0,1,2,3,4,5
0,3.849511989465592e+20,2.3052954588332258e+20,3.358401979450908e+20,7.586583240612468e+20,3.553285302055414e+20,2.57439714141169e+21
1,4.122505520004367e+22,5.547216428870843e+22,7.085322413244159e+22,6.172446579295876e+22,8.075271618552623e+22,6.150088730403419e+22
2,2.3487452843284683e+20,1.6983010597242405e+20,1.6903497783637944e+20,3.309805531861882e+20,3.8779849381876013e+20,6.233069204060976e+20
3,4.869451226700657e+18,4.5559244640980403e+18,3.147653762574205e+18,2.8188240553429656e+19,5.979443613562683e+19,5.750112994881215e+19
4,5.344953217289731e+34,4.688531128313327e+34,3.6892277201651064e+34,2.093886534985044e+35,4.0697578196234973e+34,2.093886534985044e+35
