,0,1,2,3,4,5
0,1.5153789878652848e+24,1.2209563669358632e+24,9.03437364879484e+23,1.2296139765945287e+24,1.3278082027318274e+24,1.3349560735429395e+24
1,3.67702685506658e+20,1.071714237901351e+22,5.36075527429101e+22,9.350224220231433e+21,6.489115434599215e+22,3.6783708483760276e+22
2,2.6003420670487843e+21,1.5654331938986437e+22,1.5038423800838682e+23,1.7139334116538927e+22,9.48118237971621e+22,7.245981471253567e+22
3,1.7923130966364623e+19,5.826097611461605e+21,4.809818059808092e+22,3.6753598455234936e+22,8.365645898492475e+22,3.380302303144486e+22
4,2.3553851628830167e+19,2.0468396312162214e+22,1.5448438011034415e+23,3.3654058102551596e+22,1.1058923854692903e+23,4.632138077919099e+22
