Metric,Scenario_1_Signals_Only,Scenario_2_Signals_And_Features
AUC,0.552151126,0.557728528
Accuracy,0.53512,0.53895
gbc__learning_rate,0.01,0.01
gbc__max_depth,3.0,5.0
gbc__min_samples_split,7.0,10.0
gbc__n_estimators,500.0,500.0
gbc__subsample,0.8,0.8
