,CLG_RD,GT_RD,GT_SD,CLG,NF
Logl_mean,-12.421410640547645,-47.034661684712034,-27.728367843494034,-41.97394160439418,-2.853752726589604e+22
Logl_std,0.03157033783338381,0.570175009903231,0.0,0.010515502348482642,9.795125514550368e+21
LoglStd_mean,61.54447041425418,132.92165893816482,17.774914336845196,7.872662691792972,1.7299459393401702e+22
LoglStd_std,0.7459290350368022,40.445127838563415,0.0,0.11867130070307841,6.052556612499955e+21
Brier_mean,0.27418218160367613,0.25164555265939204,0.09881996452025019,0.33193764357292965,0.25
Brier_std,0.00244195270482081,0.001408013217924664,0.0,0.005504924956768048,0.0
AUC_mean,0.8824656785782761,0.49878819967075605,0.9299223479034328,0.6631380599606516,0.5
AUC_std,0.0060890674225821395,0.00442844486896829,0.0,0.013008686259071478,0.0
Time_mean,3.7393394708633423,3.0578490495681763,0.0,3.7023857831954956,11.389333128929138
Time_std,0.02242600917816162,0.10676419734954834,0.0,0.17327368259429932,0.1954740285873413
params,BIC,"{'lr': 0.13497107870205285, 'weight_decay': 0.007369181771289582, 'split_dim': 3, 'hidden_u': 2, 'layers': 2, 'n_flows': 2}","{'lr': 0.13497107870205285, 'weight_decay': 0.007369181771289582, 'split_dim': 3, 'hidden_u': 2, 'layers': 2, 'n_flows': 2}",BIC,"{'lr': 0.26598393402594445, 'weight_decay': 0.0032504722900835253, 'split_dim': 0, 'hidden_u': 4, 'layers': 3, 'n_flows': 4}"
