Metric,Scenario_1_Signals_Only,Scenario_2_Signals_And_Features
AUC,0.5269778222222221,0.5362863555555555
Accuracy,0.5219666666666667,0.5237
gbc__learning_rate,0.01,0.02887447688194488
gbc__max_depth,3.0,3.0
gbc__min_samples_split,10.0,2.0
gbc__n_estimators,50.0,500.0
gbc__subsample,0.8,0.8
