-1,CLG_RD,GT_RD
Logl_mean,-1.8354406003933703,-3.5917425884061522
Logl_std,0.03621399382845403,0.08611093763499933
LoglStd_mean,0.9244854323461269,0.6030881752289964
LoglStd_std,0.04975722222831275,0.04746754121845642
Brier_mean,0.05530760688097948,0.4410488416836312
Brier_std,0.012767169071314782,0.07440917298798783
AUC_mean,0.9985034204354493,0.9334204407740576
AUC_std,0.0003400676128905711,0.005423071957595338
Time_mean,7.253790855407715,0.8452858924865723
Time_std,0.1253371238708496,0.06266903877258301
params,BIC,"{'lr': 0.00029531032761823735, 'weight_decay': 0.04222886085419278, 'hidden_u': 9, 'layers': 4, 'n_flows': 7}"
