,CLG,SP,MBNAF_reg0_l1_hu10,MBNAF_reg0_l1_hu20,MBNAF_reg0_l1_hu30,MBNAF_reg0_l1_hu40,MBNAF_reg0_l2_hu10,MBNAF_reg0_l2_hu20,MBNAF_reg0_l2_hu30,MBNAF_reg0_l2_hu40,MBNAF_reg0.0001_l1_hu10,MBNAF_reg0.0001_l1_hu20,MBNAF_reg0.0001_l1_hu30,MBNAF_reg0.0001_l1_hu40,MBNAF_reg0.0001_l2_hu10,MBNAF_reg0.0001_l2_hu20,MBNAF_reg0.0001_l2_hu30,MBNAF_reg0.0001_l2_hu40,MBNAF_reg0.001_l1_hu10,MBNAF_reg0.001_l1_hu20,MBNAF_reg0.001_l1_hu30,MBNAF_reg0.001_l1_hu40,MBNAF_reg0.001_l2_hu10,MBNAF_reg0.001_l2_hu20,MBNAF_reg0.001_l2_hu30,MBNAF_reg0.001_l2_hu40
mean_logl,-7.001337112596924,-7.002528076817809,-4.344863670650716,-4.349133932571683,-4.377068646567102,-4.3068405099471665,-4.114979552808996,-4.186189265694905,-4.111820348937429,-4.150481891857713,-4.090943362114933,-4.371151742423747,-4.413035413970707,-4.602270303032,-4.077996188533795,-4.466378470907452,-4.760337215097921,-4.907819370666888,-5.353457278107243,-6.090975888369588,-5.845897327669036,-6.066907350742477,-5.539655897632383,-6.037063428900595,-6.751494929711525,-7.447364267114585
std_logl,0.11804884679172277,0.11423581304153543,0.2742140217799054,0.18022693221882202,0.30456775581788625,0.27967916157598005,0.3052078525550716,0.34683130740670587,0.38852818363815084,0.35712822684623224,0.2659509661424765,0.23660890982884872,0.3368275676092222,0.39295364864432947,0.2763723474455068,0.27173558531836256,0.27841465716176006,0.3017885072499024,0.35252307962079427,1.2263150275678882,0.23337128758545925,0.2690421385735781,0.2445781578745694,0.17803054935734627,0.3476843026815314,0.9395170949911863
mean_brier,0.16804168561728822,0.16837655773219232,0.14602562392680685,0.13664074653530847,0.14349775642758053,0.13603314896550758,0.13516787309588577,0.14303516596452434,0.1403110346624043,0.135586982057958,0.13384438791676226,0.13360872043871808,0.1446716680868905,0.13695318641054247,0.13725121534024895,0.15459109656630557,0.14437224634300735,0.15681594022909082,0.15253881443627437,0.17390554211754464,0.1545604756699025,0.16623537190618606,0.1496010679247479,0.15904233403002918,0.18339089945988665,0.20658587781050194
std_brier,0.013846893998200051,0.014323958645355983,0.018298476353984836,0.01696548682436577,0.022668060977408994,0.021631875783184304,0.020138953942549564,0.021406334069265356,0.01592452201428763,0.015384596508305233,0.0162180220029949,0.017506806813214083,0.009915619566747635,0.015761135466556244,0.018390467661212585,0.018206434444181234,0.015486976926870016,0.012911239148675514,0.01575310971686112,0.06189061970684313,0.013376605832099535,0.019180926835212317,0.01497812351181528,0.018683748026120207,0.019512131878489776,0.046722679156768546
auc_mean,0.8436845945324771,0.8432573321615326,0.8948587049115991,0.9058474085318471,0.899356277821991,0.9086108074457601,0.9072118488451796,0.9005703543498728,0.9047031934537657,0.9094086346080269,0.900622969434334,0.8938228723225945,0.8866067207052124,0.8927794075009221,0.8977990905932511,0.8782951031356319,0.8818390352288885,0.8736831477601861,0.8703400533037182,0.8433290090148073,0.8683465763011917,0.8551411920072194,0.869870034830511,0.8648760169317633,0.8485999806724187,0.8397352292643625
auc_std,0.018537335178462327,0.018157103507381825,0.013666334179210395,0.015695584420572943,0.02227316477880505,0.02090580221534075,0.019379373771878518,0.016994166390811402,0.009671374502233125,0.015591916003202878,0.016536102677434862,0.016647890307278878,0.01049759774873778,0.017286146893591793,0.01665552523881764,0.019957808895751616,0.012200871183331114,0.018827293677364233,0.021624610206948194,0.061680996654561705,0.015313815379533403,0.020154982014361958,0.017786904912979965,0.018406131661096475,0.01604941151890545,0.026373364500433105
time_mean,0.036501717567443845,7.57378089427948,178.39335596561432,161.92541728019714,163.99099872112274,164.73545184135438,243.91650967597963,224.53236465454103,229.21060428619384,226.54935138225557,228.26311841011048,227.18968443870546,233.4167454481125,223.15720837116243,302.085031247139,300.8034996509552,301.57305762767794,301.26418671607973,224.03916006088258,216.279905629158,222.90862703323364,216.25784168243408,296.2532607555389,293.82054951190946,292.9740487575531,274.3006346940994
time_std,0.017123933474677097,1.1341712144484204,27.502567531074938,15.202225473667045,10.664580318676713,19.071422645276485,33.233345615096894,27.51211506823627,28.060522846471475,23.294921878282103,6.824277331116991,5.281003557944625,2.2954999090751604,12.76933273482088,8.725742430772796,7.96270969045033,10.236094073499041,6.582470596782594,6.075482944167736,13.52238875751857,3.0031653545186376,13.981143528230952,12.26491941316257,10.967752225497373,12.157564708549248,41.64605403121439
