,Restricted (limited arcs),Restricted,Unrestricted,NF,Lingam,Lingam complex,Lingam simpler inter,Lingam simpler inter_vars,Lingam simpler inter_vars 2
Logl_mean,-137.88641773878481,-123.35116106757293,-111.27856206978336,-98.93140854975707,-53.35038452148437,-54.35506591796875,-82.58773803710938,-70.81153564453125,-82.27855834960937
Logl_std,1.8611413129506342,2.2226855413349744,5.090240495583212,2.3503000850579427,5.28336993394911,2.6570084764357706,1.5612295163905787,2.6822189005974386,1.6600053023510515
LoglStd_mean,32.61302938669298,36.79335634216057,65.38957269417875,34.516962307909886,33.5543701171875,36.07371826171875,28.137753295898438,35.58322448730469,32.651702880859375
LoglStd_std,4.559465540941369,10.177866469394413,34.93322366504,22.689469511728987,1.7865651676085645,3.0169883169148104,1.8684157643222192,2.7313037017646593,2.273162904867905
Brier_mean,0.25777046612034715,0.07348168393337952,0.5250054082762998,0.37266636106441486,0.001267621448123928,0.001267621448123928,0.001267621448123928,0.0012527328773820742,0.001002320618603412
Brier_std,0.04369131864411462,0.00969243072031555,0.05553930764486562,0.047832061809226785,0.0007777069910809236,0.0007777069910809236,0.0007777069910809236,0.0007561262322453297,0.0005775093846401924
AUC_mean,0.9832655595495738,0.9991200120121275,0.9258233786568262,0.9651119796105426,0.985059300843975,0.985059300843975,0.985059300843975,0.9935549293043351,0.9996232611019179
AUC_std,0.006252613253172498,0.0004307360389086512,0.012403231397872742,0.007325793938076601,0.009465800424561154,0.009465800424561154,0.009465800424561154,0.005802508927889618,0.00034541173833542985
Time_mean,0.531179690361023,12.850266909599304,107.53142585754395,197.25225834846498,1218.9632300138474,591.3899736404419,1005.2390707969665,687.6889014005661,736.047397351265
Time_std,0.009314560486206318,0.7848874153463135,6.714098610382527,2.9655746071554003,499.05831516016127,82.36987381127729,1521.1648678947572,229.32862447505516,145.206860870076
params,"{'max_indegree': 3, 'score': 'BIC'}","{'max_indegree': 3, 'score': 'BIC'}","{'max_indegree': 3, 'score': 'BIC'}","{'lr': 0.00017198010827070402, 'weight_decay': 0.0502595562429802, 'hidden_units': 3, 'layers': 5, 'n_flows': 9, 'sam_noise': 0.3974003785509348, 'steps': 500, 'batch_size': 256, 'Actual_steps': 454.5}",{},{},{},{},{}
