,CLG,"NF{'lr': 0.01, 'weight_decay': 0, 'bins': 2, 'hidden_u': 21, 'layers': 1, 'n_flows': 1}"
mean_logl,-58.282967115387734,-21.308915822514564
std_logl,5.592587653582975,0.33029827922491145
mean_brier,16029.101431875413,0.24774227480046235
std_brier,19848.56089043526,0.006030713666489651
auc_mean,0.5686968633952998,0.599020076812824
auc_std,0.006496994552216432,0.01542465116357027
time_mean,4.532841444015503,31.06229543685913
time_std,0.24093611602982645,6.270454742512947
