,CLG
mean_logl,-14.104435853640023
std_logl,0.26015688503283596
mean_brier,0.18361281529187162
std_brier,0.0136025755979152
auc_mean,0.815355798181494
auc_std,0.018937257999990798
time_mean,4.288842344284058
time_std,0.13051553295719714
