,CLG,"NF{'lr': 0.01, 'weight_decay': 0, 'bins': 2, 'hidden_u': 42, 'layers': 1, 'n_flows': 1}","NF{'lr': 0.01, 'weight_decay': 0, 'bins': 2, 'hidden_u': 42, 'layers': 1, 'n_flows': 2}"
mean_logl,-63.53444368967291,-24.23981663591437,-18.699109429273665
std_logl,6.481816642532573,1.1751041724376254,3.2298960602461557
mean_brier,0.2669475099241866,0.3244558080178959,0.27766698086986424
std_brier,0.00805363355925026,0.08920313291650306,0.014384181892800121
auc_mean,0.5691683715468416,0.556581236815656,0.5564990677582499
auc_std,0.007133061375693566,0.042689014593459654,0.023417042356908592
time_mean,18.839663124084474,59.52328824996948,386.12158741950986
time_std,5.451108789673672,9.716689980989434,252.95507749476695
