,GT_RD,GT_SD,CLG,NF
Logl_mean,-1.7815521990049124,-1.814207019127083,-3.1090318359485227,-2.002134972833547
Logl_std,0.06427307535560206,0.0,1.183886691087228,0.2009223592049463
Brier_mean,0.03113069798598043,0.022565936882460655,0.04832606141775597,0.03735733454100367
Brier_std,0.009944042697593223,0.0,0.009327312122106331,0.006766772938883948
AUC_mean,0.9984191088586051,0.9988854094736448,0.9932768361434356,0.9980038748483699
AUC_std,0.0009221671413759177,0.0,0.006155118480042484,0.0012242074673426903
Time_mean,9.413743178049723,0.0,3.207812547683716,17.471720933914185
Time_std,1.6390905355003054,0.0,0.0058856114679453515,4.921347371822867
params,"{'lr': 0.0016430899429902767, 'weight_decay': 0.00032504722900835256, 'bins': 3, 'hidden_u': 7, 'layers': 2, 'n_flows': 4}","{'lr': 0.0016430899429902767, 'weight_decay': 0.00032504722900835256, 'bins': 3, 'hidden_u': 7, 'layers': 2, 'n_flows': 4}",BIC,"{'lr': 0.0016430899429902767, 'weight_decay': 0.00032504722900835256, 'bins': 3, 'hidden_u': 7, 'layers': 2, 'n_flows': 4}"
