Metric,Scenario_1_Signals_Only,Scenario_2_Signals_And_Features
AUC,0.5006099333333334,0.5057611555555557
Accuracy,0.4991,0.5069666666666668
gbc__learning_rate,0.01,0.2
gbc__max_depth,15.0,14.0
gbc__min_samples_split,10.0,6.0
gbc__n_estimators,50.0,500.0
gbc__subsample,0.8,0.9577532165672411
