,0,1,2,3,4
0,6844.900542700319,6599.353550188987,6584.943034179461,6593.112754334193,6547.295365680252
1,44592640689.743706,2902539.09429112,2710138.875433502,2726379.723849078,2732006.2333442154
2,8332.810314943275,6597.590199747824,6653.48126857367,6694.184685233743,6675.243633330639
3,10674.351535362204,6678.734019778975,6656.881427931002,6635.488782858594,6705.62842399116
4,7763.6282278352255,7470.03297781732,7370.773416416034,7866.8595138073915,7849.50683432552
5,6712.094571216439,6521.48886949966,6614.264540552207,6648.1602322116,6646.1407232355905
6,6733.042523523435,6740.267028228082,6744.576344794199,6808.232906808966,6791.360730211796
7,11501.66218038831,6972.784299666507,6974.417529865745,6965.243735673757,7038.73847333039
8,202831.43015431502,6524.224934770724,6532.6823482262935,6547.137849387536,6683.567112431678
9,7884294013.551884,3152703.7370839193,3121177.6428667814,3106306.9476535805,3114139.7670188067
