,"{'eta_crossover': 10, 'eta_mutation': 60, 'selection_type': 'tourn'}","{'eta_crossover': 10, 'eta_mutation': 60, 'selection_type': 'ran'}","{'eta_crossover': 10, 'eta_mutation': 70, 'selection_type': 'tourn'}","{'eta_crossover': 10, 'eta_mutation': 70, 'selection_type': 'ran'}","{'eta_crossover': 10, 'eta_mutation': 80, 'selection_type': 'tourn'}","{'eta_crossover': 10, 'eta_mutation': 80, 'selection_type': 'ran'}","{'eta_crossover': 10, 'eta_mutation': 90, 'selection_type': 'tourn'}","{'eta_crossover': 10, 'eta_mutation': 90, 'selection_type': 'ran'}","{'eta_crossover': 15, 'eta_mutation': 60, 'selection_type': 'tourn'}","{'eta_crossover': 15, 'eta_mutation': 60, 'selection_type': 'ran'}","{'eta_crossover': 15, 'eta_mutation': 70, 'selection_type': 'tourn'}","{'eta_crossover': 15, 'eta_mutation': 70, 'selection_type': 'ran'}","{'eta_crossover': 15, 'eta_mutation': 80, 'selection_type': 'tourn'}","{'eta_crossover': 15, 'eta_mutation': 80, 'selection_type': 'ran'}","{'eta_crossover': 15, 'eta_mutation': 90, 'selection_type': 'tourn'}","{'eta_crossover': 15, 'eta_mutation': 90, 'selection_type': 'ran'}","{'eta_crossover': 20, 'eta_mutation': 60, 'selection_type': 'tourn'}","{'eta_crossover': 20, 'eta_mutation': 60, 'selection_type': 'ran'}","{'eta_crossover': 20, 'eta_mutation': 70, 'selection_type': 'tourn'}","{'eta_crossover': 20, 'eta_mutation': 70, 'selection_type': 'ran'}","{'eta_crossover': 20, 'eta_mutation': 80, 'selection_type': 'tourn'}","{'eta_crossover': 20, 'eta_mutation': 80, 'selection_type': 'ran'}","{'eta_crossover': 20, 'eta_mutation': 90, 'selection_type': 'tourn'}","{'eta_crossover': 20, 'eta_mutation': 90, 'selection_type': 'ran'}"
0,21.967098293514283,21.98071650484053,21.957576515120753,21.963205811529612,21.9690495793536,21.95394446549185,21.964432377494784,21.962144678156648,21.969337862721556,21.95589205426393,21.966512080644467,21.961733532482643,21.951958589250896,21.97528495020807,21.986214236511668,21.956230546306454,21.97006826081309,21.9534876431334,21.964826158248815,21.96807446700934,21.964692111478534,21.95243018025155,21.961256146483205,21.9510054528447
1,22.030986368461207,21.959786289790475,21.958288244737517,21.92048962290151,21.923716055234962,21.92355287425083,22.00301742257912,21.94920446632216,21.934755605487943,21.949778024406587,21.943020973037694,21.94426549457956,21.96509373869927,21.94818044956787,21.94149248033101,21.95049316724121,21.93651265575645,21.97865924645957,21.967549234140655,21.962116090981564,21.948951149768725,21.96287719919512,21.94889243126777,21.979231584824234
2,22.017433956233727,22.12862806595166,22.049998224340033,22.11696770300189,21.99766160785597,21.999982587184057,21.95110202140792,21.936836632596467,22.021220100521674,22.044720221017364,21.97295086688328,21.979611754711065,21.96262417797822,21.999937921849114,21.972524852089244,21.974042603602868,22.03327831384714,21.958474283177125,21.990298744490477,22.042128392952815,22.04415846205973,22.06614647951641,21.987459638584138,21.957458648084796
3,22.16027704479075,22.01862115584299,22.16552264031355,22.272531644348437,22.131959270094512,22.105656841576945,22.04941358980101,22.087057005718684,22.136270561962096,22.127492398307076,22.010633522592773,22.144053124531105,22.081581213562185,22.262167574688554,22.106852350556245,22.032518781555435,22.162036953719312,22.087922457795727,22.033564099739284,22.234051581105636,22.077828035498847,22.175047861018626,22.129139183176868,22.214940982812276
4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
