Metric,Scenario_1_Signals_Only,Scenario_2_Signals_And_Features
AUC,0.5808915939999999,0.645644664
Accuracy,0.5567599999999999,0.6018199999999999
gbc__learning_rate,0.01762354877665093,0.2
gbc__max_depth,3.0,3.0
gbc__min_samples_split,3.0,10.0
gbc__n_estimators,157.0,500.0
gbc__subsample,0.8083781208708247,0.8
