,"{'eta_crossover': 10, 'eta_mutation': 30, 'selection_type': 'tourn'}","{'eta_crossover': 10, 'eta_mutation': 30, 'selection_type': 'ran'}","{'eta_crossover': 10, 'eta_mutation': 40, 'selection_type': 'tourn'}","{'eta_crossover': 10, 'eta_mutation': 40, 'selection_type': 'ran'}","{'eta_crossover': 10, 'eta_mutation': 50, 'selection_type': 'tourn'}","{'eta_crossover': 10, 'eta_mutation': 50, 'selection_type': 'ran'}","{'eta_crossover': 15, 'eta_mutation': 30, 'selection_type': 'tourn'}","{'eta_crossover': 15, 'eta_mutation': 30, 'selection_type': 'ran'}","{'eta_crossover': 15, 'eta_mutation': 40, 'selection_type': 'tourn'}","{'eta_crossover': 15, 'eta_mutation': 40, 'selection_type': 'ran'}","{'eta_crossover': 15, 'eta_mutation': 50, 'selection_type': 'tourn'}","{'eta_crossover': 15, 'eta_mutation': 50, 'selection_type': 'ran'}","{'eta_crossover': 20, 'eta_mutation': 30, 'selection_type': 'tourn'}","{'eta_crossover': 20, 'eta_mutation': 30, 'selection_type': 'ran'}","{'eta_crossover': 20, 'eta_mutation': 40, 'selection_type': 'tourn'}","{'eta_crossover': 20, 'eta_mutation': 40, 'selection_type': 'ran'}","{'eta_crossover': 20, 'eta_mutation': 50, 'selection_type': 'tourn'}","{'eta_crossover': 20, 'eta_mutation': 50, 'selection_type': 'ran'}"
0,1.9138169649009054,1.4243753632064686,1.9234689332849264,1.9181264397286162,1.420934828442498,1.8986818222235111,1.911780876944421,2.097748559998838,1.904451029927512,1.4226017053562006,1.922535332062925,1.9167382096793881,1.9154555033462635,1.4538685385959764,2.060013026716118,1.909006584435005,1.911042395642158,1.9235889202484417
1,2.0509038784178655,2.0470457108190345,2.03724475459631,2.0245343595210685,2.0464028018915275,2.1436850885593612,2.064405380526173,2.0386669037794847,2.0561084858200354,2.037038118602552,2.075438314311264,1.8951132906477302,2.030917381761606,2.0617267654886406,2.0558380280562574,2.0560230052304886,2.1168395331081764,2.0359888666520978
2,2.040546778132244,2.156630431654397,2.056544792684481,2.05693028247256,2.0576458161964775,2.043351740424193,2.0205729124928022,2.1803298987588295,2.0718278110807518,2.042816136034487,2.0732058500142667,2.0968069507080784,2.0620993093481506,2.1760931220719106,2.04294946355112,2.0896372472107645,2.252607283970191,2.0651864718312525
3,2.0768547561078274,2.4107335046974647,2.086069078898891,2.0698388523339317,2.1125773798690592,2.093499273415596,2.100646653435809,2.0772245465726185,2.2114928595631187,2.046391428199296,2.038401926288872,2.0384303998401627,2.12495068461039,2.046371585002914,2.0713470774969807,2.086142524003059,2.187723845906874,2.0477686114278435
4,7.352786755400102,7.341548348385446,7.331379480499699,7.346216001250882,7.335610237974235,7.327530933963028,7.333167234228777,7.3283117044469215,7.340838307094881,7.326715486073179,7.327889842912264,7.325615287563527,7.346473553107862,7.331726094737959,7.351244433158337,7.334006121442161,7.335741684302674,7.33339429345353
5,7.311283134612931,7.315633342324214,7.316377681336274,7.369207022928857,7.304357162519976,7.512815569684669,7.410297230668369,7.326512563638887,7.297448766482583,7.379549373683586,7.349779450201071,7.311531254161687,7.4392597640465885,7.297246300771621,7.512457756449818,7.302394476199804,7.343844770544672,7.3336319146513205
6,7.475577270919016,7.340287562401638,7.3598452809702435,7.29536841719516,7.284693743428866,7.302349295866439,7.488071337831478,7.442740570251448,7.399264696116716,7.315475752545991,7.307479922261246,7.5166008077711375,7.479309872001508,7.395587110187766,7.405340818211556,7.30494456876349,7.536729631458403,7.339935493921117
7,7.392142222297156,7.509209316555201,7.519064629429074,7.445206450996663,7.570796084689776,7.503053596100321,7.425736176840649,7.380711657367956,7.340786589641948,7.643823731447463,7.639319450873598,7.606319260028725,7.345620843368578,7.575664418446573,7.51306448420632,7.397735463320421,7.364162510311106,7.469807403684001
8,4.029632148489537,4.038151743012267,4.0625907262950145,3.9831939619510712,4.068931644069448,3.9971437956350675,4.1219432762359585,3.996647407290907,3.990705067979367,4.026885655885313,4.049252655696605,3.997434155777375,4.018603484544431,3.9899399694230704,4.092260493134748,3.9781815098601148,4.005058575459963,4.070200151892493
9,4.043765608365278,4.24928700900801,4.29358479470565,4.24378777470865,4.283185463721018,4.362339064053779,4.120940422417563,4.166809232824613,4.225314959521815,4.569404078063861,4.418585722465421,4.239931094881543,4.208289610703413,4.2354511961216765,4.51156935506464,4.228170311660875,4.1339025354412,4.201549625951382
