Metric,Scenario_1_Signals_Only,Scenario_2_Signals_And_Features
AUC,0.5706228666666666,0.5984253777777778
Accuracy,0.5501666666666666,0.5655333333333333
gbc__learning_rate,0.07971284462998218,0.06300883908464232
gbc__max_depth,3.0,3.0
gbc__min_samples_split,2.0,10.0
gbc__n_estimators,50.0,500.0
gbc__subsample,0.8,0.8
